name,brand,mfr_part_number,gtin,hsn_code,gst_rate,country_of_origin,pack_qty,lamp_type,wattage,cap_base_type,colour_temperature,luminous_flux,led_dimmable,certification_mark,warranty_period,source_url,image_url,confidence
Rojo LED Lamp 7W B22 Red,Havells,,,8539,12,India,1,LED Bulb,7,B22,,,,,,https://havells.com/lighting/lighting-led-lamps.html,,unverified
Adore Jumbo LED 50W B22 CDL,Havells,,,8539,12,India,1,LED Bulb,50,B22,Cool Daylight 6500K,,,,,https://havells.com/lighting/lighting-led-lamps.html,,partial
LED Plus 9W E27 CDL,Havells,,,8539,12,India,1,LED Bulb,9,E27,Cool Daylight 6500K,,,,,https://havells.com/lighting/lighting-led-lamps.html,,partial
Adore LED Plus 20W B22 WW,Havells,,,8539,12,India,1,LED Bulb,20,B22,Warm White 2700K,,,,,https://havells.com/lighting/lighting-led-lamps.html,,partial
Adore LED Plus 20W E27 CDL,Havells,,,8539,12,India,1,LED Bulb,20,E27,Cool Daylight 6500K,,,,,https://havells.com/lighting/lighting-led-lamps.html,,partial
Adore LED Candle 2.8W E27 WW,Havells,,,8539,12,India,1,LED Bulb,2.8,E27,Warm White 2700K,,,,,https://havells.com/lighting/lighting-led-lamps.html,,partial
Adore LED Candle 2.8W E14 WW,Havells,,,8539,12,India,1,LED Bulb,2.8,E14,Warm White 2700K,,,,,https://havells.com/lighting/lighting-led-lamps.html,,partial
Adore LED Ball 2.8W B22 CDL,Havells,,,8539,12,India,1,LED Bulb,2.8,B22,Cool Daylight 6500K,,,,,https://havells.com/lighting/lighting-led-lamps.html,,partial
Adore LED Ball 2.8W E27 WW,Havells,,,8539,12,India,1,LED Bulb,2.8,E27,Warm White 2700K,,,,,https://havells.com/lighting/lighting-led-lamps.html,,partial
Adore LED Ball 2.8W E14 WW,Havells,,,8539,12,India,1,LED Bulb,2.8,E14,Warm White 2700K,,,,,https://havells.com/lighting/lighting-led-lamps.html,,partial
LED Plus 9W B22 CDL,Havells,,,8539,12,India,1,LED Bulb,9,B22,Cool Daylight 6500K,,,,,https://havells.com/lighting/lighting-led-lamps.html,,partial
LED Plus 15W B22 CDL,Havells,,,8539,12,India,1,LED Bulb,15,B22,Cool Daylight 6500K,,,,,https://havells.com/lighting/lighting-led-lamps.html,,partial
Florid Ultra LED 36W B22 CDL,Havells,,,8539,12,India,1,LED Tube,36,B22,Cool Daylight 6500K,,,,,https://havells.com/lighting/lighting-led-lamps.html,,partial
LED Plus 7W B22 CDL,Havells,,,8539,12,India,1,LED Bulb,7,B22,Cool Daylight 6500K,,,,,https://havells.com/lighting/lighting-led-lamps.html,,partial
LED Plus 5W B22 CDL,Havells,,,8539,12,India,1,LED Bulb,5,B22,Cool Daylight 6500K,,,,,https://havells.com/lighting/lighting-led-lamps.html,,partial
Adore Jumbo LED 60W B22 CDL,Havells,,,8539,12,India,1,LED Bulb,60,B22,Cool Daylight 6500K,,,,,https://havells.com/lighting/lighting-led-lamps.html,,partial
Intellicharge 9W B22 CDL,Havells,,,8539,12,India,1,LED Bulb,9,B22,Cool Daylight 6500K,,,,,https://havells.com/lighting/lighting-led-lamps.html,,partial
LED Plus 12W B22 CDL,Havells,,,8539,12,India,1,LED Bulb,12,B22,Cool Daylight 6500K,,,,,https://havells.com/lighting/lighting-led-lamps.html,,partial
LED Inverter Bulb 8.5W B22 CDL,Havells,,,8539,12,India,1,LED Bulb,,B22,Cool Daylight 6500K,,,,,https://havells.com/lighting/lighting-led-lamps.html,,unverified
Adore LED Candle 2.8W B22 CDL,Havells,,,8539,12,India,1,LED Bulb,2.8,B22,Cool Daylight 6500K,,,,,https://havells.com/lighting/lighting-led-lamps.html,,partial
NU Bulb Plus 12W B22 CDL,Havells,,,8539,12,India,1,LED Bulb,12,B22,Cool Daylight 6500K,,,,,https://havells.com/lighting/lighting-led-lamps.html,,partial
LED Plus 10W B22 CDL,Havells,,,8539,12,India,1,LED Bulb,10,B22,Cool Daylight 6500K,,,,,https://havells.com/lighting/lighting-led-lamps.html,,partial
Adore Plus LED 20W B22 CDL,Havells,,,8539,12,India,1,LED Bulb,20,B22,Cool Daylight 6500K,,,,,https://havells.com/lighting/lighting-led-lamps.html,,partial
Adore LED Lamp 0.7W B22,Havells,,,8539,12,India,1,LED Bulb,0.7,B22,,,,,,https://havells.com/lighting/lighting-led-lamps.html,,unverified
