name,brand,mfr_part_number,gtin,hsn_code,gst_rate,country_of_origin,pack_qty,module_capacity,plate_material,plate_finish,plate_series,certification_mark,warranty_period,source_url,image_url,confidence
Magnus Plus 1 M PC Combined Plate Wooden Box White,Crabtree,ACGPBCWV01,,8536,18,India,1,1,Polycarbonate,White,Magnus Plus,,,https://havells.com/crabtree/switches.html?p=5,,partial
Magnus Plus 2 M PC Combined Plate Wooden Box White,Crabtree,ACGPBCWV02,,8536,18,India,1,2,Polycarbonate,White,Magnus Plus,,,https://havells.com/crabtree/switches.html?p=3,,partial
Magnus Plus 3 M PC Combined Plate Wooden Box White,Crabtree,ACGPBCWV03,,8536,18,India,1,3,Polycarbonate,White,Magnus Plus,,,https://havells.com/crabtree/switches.html?p=4,,partial
Magnus Plus 4 M PC Combined Plate Wooden Box White,Crabtree,ACGPBCWV04,,8536,18,India,1,4,Polycarbonate,White,Magnus Plus,,,https://havells.com/crabtree/switches.html?p=3,,partial
Magnus Plus 6 M PC Combined Plate Wooden Box White,Crabtree,ACGPBCWV06,,8536,18,India,1,6,Polycarbonate,White,Magnus Plus,,,https://havells.com/crabtree/switches.html?p=3,,partial
Magnus Plus 8 MH PC Combined Plate Wooden Box White,Crabtree,ACGPBCWH08,,8536,18,India,1,8,Polycarbonate,White,Magnus Plus,,,https://havells.com/crabtree/switches.html?p=3,,partial
Magnus Plus 10 M PC Combined Plate Wooden Box White,Crabtree,ACGPBCWV10,,8536,18,India,1,,Polycarbonate,White,Magnus Plus,,,https://havells.com/crabtree/switches.html?p=4,,unverified
Magnus Plus 12 MH PC Combined Plate Wooden Box White,Crabtree,ACGPBCWH12,,8536,18,India,1,12,Polycarbonate,White,Magnus Plus,,,https://havells.com/crabtree/switches.html?p=5,,partial
Magnus Plus 12 M (V) PC Combined Plate Wooden Box White,Crabtree,ACGPBCWV12,,8536,18,India,1,12,Polycarbonate,White,Magnus Plus,,,https://havells.com/crabtree/switches.html?p=4,,partial
Magnus 1 M Dummy Plate White,Crabtree,ACGPLBWW01,,8536,18,India,1,1,Polycarbonate,White,Magnus,,,https://havells.com/crabtree/switches.html?p=2,,partial
Magnus 1 M Dummy Plate Grey,Crabtree,ACGPLBGW01,,8536,18,India,1,1,Polycarbonate,Grey,Magnus,,,https://havells.com/crabtree/switches.html?p=2,,partial
Adiva 1 M Front Plate White,Crabtree,AHAPLCWV01,,8536,18,India,1,1,Polycarbonate,White,Adiva,,,https://havells.com/crabtree/switches.html?p=3,,partial
Signia 6 M PC Combined Plate Rose Bezel Grey,Crabtree,ACWPLCRV06,,8536,18,India,1,6,Polycarbonate,Grey,Signia,,,https://havells.com/crabtree/switches.html?p=5,,partial
Signia 8 M (H) PC Combined Plate Rose Bezel Grey,Crabtree,ACWPLCGH08,,8536,18,India,1,8,Polycarbonate,Grey,Signia,,,https://havells.com/crabtree/switches.html?p=5,,partial
Signia 3 M (with Piller) Glass Outer Plate Grande Frosted Slate,Crabtree,ACWPGOGP03,,8536,18,India,1,3,Glass,,Signia,,,https://havells.com/crabtree/switches.html?p=5,,partial
Signia 6 M Glass Outer Plate Grande Frosted Slate,Crabtree,ACWPGOGV06,,8536,18,India,1,6,Glass,,Signia,,,https://havells.com/crabtree/switches.html?p=5,,partial
Signia 12 M Glass Outer Plate Grande Frosted Slate,Crabtree,ACWPGOGV12,,8536,18,India,1,12,Glass,,Signia,,,https://havells.com/crabtree/switches.html?p=5,,partial
