name,brand,mfr_part_number,gtin,hsn_code,gst_rate,country_of_origin,pack_qty,device_type,module_size,current_rating,series,finish,certification_mark,warranty_period,source_url,image_url,confidence
Magnus 6 A Flat Switch White,Crabtree,ACGZPXW061,,8536,18,India,1,One-way Switch,1,6,Magnus,White,,,https://havells.com/crabtree/switches.html,,partial
Magnus 6 A Flat Switch Grey,Crabtree,ACGZPXG061,,8536,18,India,1,One-way Switch,1,6,Magnus,Grey,,,https://havells.com/crabtree/switches.html,,partial
Magnus 6 A One Way Switch White,Crabtree,ACGSPXW061,,8536,18,India,1,One-way Switch,1,6,Magnus,White,,,https://havells.com/crabtree/switches.html,,partial
Magnus 6 A One Way Switch Grey,Crabtree,ACGSPXG061,,8536,18,India,1,One-way Switch,1,6,Magnus,Grey,,,https://havells.com/crabtree/switches.html,,partial
Magnus 6 A 3 Pin Socket White,Crabtree,ACGKPWW063,,8536,18,India,1,Socket 6A,1,6,Magnus,White,,,https://havells.com/crabtree/switches.html,,partial
Magnus 6 A 3 Pin Socket Grey,Crabtree,ACGKPWG063,,8536,18,India,1,Socket 6A,1,6,Magnus,Grey,,,https://havells.com/crabtree/switches.html,,partial
Magnus 6 A/16 A Socket White,Crabtree,ACGKSWW163,,8536,18,India,1,Combined 6/16A,1,16,Magnus,White,,,https://havells.com/crabtree/switches.html,,partial
Magnus 6 A/16 A Socket Grey,Crabtree,ACGKSWG163,,8536,18,India,1,Combined 6/16A,1,16,Magnus,Grey,,,https://havells.com/crabtree/switches.html,,partial
Magnus 6 A Two Way Switch White,Crabtree,ACGSPXW062,,8536,18,India,1,Two-way Switch,2,6,Magnus,White,,,https://havells.com/crabtree/switches.html?p=2,,partial
Magnus 6 A Two Way Switch Grey,Crabtree,ACGSPXG062,,8536,18,India,1,Two-way Switch,1,6,Magnus,Grey,,,https://havells.com/crabtree/switches.html?p=3,,partial
Magnus 6 A Two Way Flat Switch White,Crabtree,ACGZPXW062,,8536,18,India,1,Two-way Switch,2,6,Magnus,White,,,https://havells.com/crabtree/switches.html?p=2,,partial
Magnus 6 A Two Way Flat Switch Grey,Crabtree,ACGZPXG062,,8536,18,India,1,Two-way Switch,2,6,Magnus,Grey,,,https://havells.com/crabtree/switches.html?p=2,,partial
Magnus 16 A Flat Switch with Indicator White,Crabtree,ACGZPIW161,,8536,18,India,1,One-way Switch,1,16,Magnus,White,,,https://havells.com/crabtree/switches.html?p=4,,partial
Magnus 16 A Flat Switch with Indicator Grey,Crabtree,ACGZPIG161,,8536,18,India,1,One-way Switch,1,16,Magnus,Grey,,,https://havells.com/crabtree/switches.html?p=3,,partial
Magnus 16 A One Way Switch with Indicator White,Crabtree,ACGSPIW161,,8536,18,India,1,One-way Switch,1,16,Magnus,White,,,https://havells.com/crabtree/switches.html?p=4,,partial
Magnus 16 A One Way Switch with Indicator Grey,Crabtree,ACGSPIG161,,8536,18,India,1,One-way Switch,1,16,Magnus,Grey,,,https://havells.com/crabtree/switches.html?p=4,,partial
Magnus 32 A One Way DP Switch with Indicator White,Crabtree,ACGSDIW321,,8536,18,India,1,One-way Switch,1,32,Magnus,White,,,https://havells.com/crabtree/switches.html?p=3,,partial
Magnus 6 A Bell Push Flat Switch White,Crabtree,ACGZBXW061,,8536,18,India,1,Bell Push,1,6,Magnus,White,,,https://havells.com/crabtree/switches.html?p=4,,partial
Magnus 6 A Bell Push Flat Switch Grey,Crabtree,ACGZBXG061,,8536,18,India,1,Bell Push,1,6,Magnus,Grey,,,https://havells.com/crabtree/switches.html?p=4,,partial
