name,brand,mfr_part_number,gtin,hsn_code,gst_rate,country_of_origin,pack_qty,cable_type,conductor_size,number_of_cores,conductor_material,insulation,voltage_grade,certification_mark,warranty_period,source_url,image_url,confidence
Life Line Plus S3 HRFR 0.5 sq. mm,Havells,,,8544,18,India,90,House Wire (FR),0.75,1,Copper,HRFR,1100,,,https://havells.com/home-electricals/flexible-cables.html,,partial
Life Line Plus S3 HRFR 0.75 sq. mm,Havells,,,8544,18,India,90,House Wire (FR),0.75,1,Copper,HRFR,1100,,,https://havells.com/home-electricals/flexible-cables.html,,partial
Life Line Plus S3 HRFR 1.0 sq. mm,Havells,,,8544,18,India,90,House Wire (FR),1.0,1,Copper,HRFR,1100,,,https://havells.com/home-electricals/flexible-cables.html,,partial
Life Line Plus S3 HRFR 1.5 sq. mm,Havells,,,8544,18,India,90,House Wire (FR),1.5,1,Copper,HRFR,1100,,,https://havells.com/home-electricals/flexible-cables.html,,partial
Life Line Plus S3 HRFR 2.5 sq. mm,Havells,WHFFDNKA12X5-C,,8544,18,India,90,House Wire (FR),2.5,1,Copper,HRFR,1100,,,https://havells.com/home-electricals/flexible-cables/whffdnka12x5-c.html,,confirmed
Life Line Plus S3 HRFR 4.0 sq. mm,Havells,,,8544,18,India,90,House Wire (FR),4,1,Copper,HRFR,1100,,,https://havells.com/home-electricals/flexible-cables.html,,partial
Life Line Plus S3 HRFR 6.0 sq. mm,Havells,,,8544,18,India,90,House Wire (FR),6,1,Copper,HRFR,1100,,,https://havells.com/home-electricals/flexible-cables.html,,partial
Lifeline FR 0.75 sq. mm 180m,Havells,,,8544,18,India,180,House Wire (FR),0.75,1,Copper,FR,1100,,,https://havells.com/home-electricals/flexible-cables.html,,partial
Lifeline FR 1.0 sq. mm 180m,Havells,,,8544,18,India,180,House Wire (FR),1.0,1,Copper,FR,1100,,,https://havells.com/home-electricals/flexible-cables.html,,partial
Lifeline FR 1.5 sq. mm 180m,Havells,,,8544,18,India,180,House Wire (FR),1.5,1,Copper,FR,1100,,,https://havells.com/home-electricals/flexible-cables.html,,partial
Lifeline FR 2.5 sq. mm 180m,Havells,WHFFDNRL12X57-C,,8544,18,India,180,House Wire (FR),2.5,1,Copper,FR,1100,,,https://havells.com/home-electricals/flexible-cables/lifeline-fr-2-5-sq-mm-180-m.html,,confirmed
Lifeline FR 4.0 sq. mm 180m,Havells,,,8544,18,India,180,House Wire (FR),4,1,Copper,FR,1100,,,https://havells.com/home-electricals/flexible-cables.html,,partial
Lifeline FR 6.0 sq. mm 180m,Havells,,,8544,18,India,180,House Wire (FR),6,1,Copper,FR,1100,,,https://havells.com/home-electricals/flexible-cables.html,,partial
Life Guard FR-LSH 1.0 sq. mm,Havells,,,8544,18,India,90,House Wire (FRLS),1.0,1,Copper,FRLS,1100,,,https://havells.com/home-electricals/flexible-cables.html,,partial
Life Guard FR-LSH 1.5 sq. mm,Havells,,,8544,18,India,90,House Wire (FRLS),1.5,1,Copper,FRLS,1100,,,https://havells.com/home-electricals/flexible-cables.html,,partial
Life Guard FR-LSH 2.5 sq. mm,Havells,,,8544,18,India,90,House Wire (FRLS),2.5,1,Copper,FRLS,1100,,,https://havells.com/home-electricals/flexible-cables.html,,partial
Life Guard FR-LSH 4.0 sq. mm,Havells,,,8544,18,India,90,House Wire (FRLS),4,1,Copper,FRLS,1100,,,https://havells.com/home-electricals/flexible-cables.html,,partial
Life Guard FR-LSH 6.0 sq. mm,Havells,,,8544,18,India,90,House Wire (FRLS),6,1,Copper,FRLS,1100,,,https://havells.com/home-electricals/flexible-cables.html,,partial
Life Shield HFFR 1.0 sq. mm,Havells,,,8544,18,India,90,Flexible Cable,1.0,1,Copper,,1100,,,https://havells.com/home-electricals/flexible-cables.html,,partial
Life Shield HFFR 1.5 sq. mm,Havells,,,8544,18,India,90,Flexible Cable,1.5,1,Copper,,1100,,,https://havells.com/home-electricals/flexible-cables.html,,partial
Life Shield HFFR 2.5 sq. mm,Havells,,,8544,18,India,90,Flexible Cable,2.5,1,Copper,,1100,,,https://havells.com/home-electricals/flexible-cables.html,,partial
Life Shield HFFR 4.0 sq. mm,Havells,,,8544,18,India,90,Flexible Cable,4,1,Copper,,1100,,,https://havells.com/home-electricals/flexible-cables.html,,partial
Life Shield HFFR 6.0 sq. mm,Havells,,,8544,18,India,90,Flexible Cable,6,1,Copper,,1100,,,https://havells.com/home-electricals/flexible-cables.html,,partial
