name,brand,mfr_part_number,gtin,hsn_code,gst_rate,country_of_origin,pack_qty,pipe_material,nominal_diameter,pressure_class,pipe_application,source_url,image_url,confidence
Astral CPVC PRO CTS Pipe 15mm SDR 11,Astral,,,3917,18,India,,CPVC,15,SDR 11,,https://www.astralpipes.com/plumbing-pipes-fittings/cpvc-pro-pipes/,,confirmed
Astral CPVC PRO CTS Pipe 20mm SDR 11,Astral,,,3917,18,India,,CPVC,20,SDR 11,,https://www.astralpipes.com/plumbing-pipes-fittings/cpvc-pro-pipes/,,confirmed
Astral CPVC PRO CTS Pipe 25mm SDR 11,Astral,,,3917,18,India,,CPVC,25,SDR 11,,https://www.astralpipes.com/plumbing-pipes-fittings/cpvc-pro-pipes/,,confirmed
Astral CPVC PRO CTS Pipe 32mm SDR 11,Astral,,,3917,18,India,,CPVC,32,SDR 11,,https://www.astralpipes.com/plumbing-pipes-fittings/cpvc-pro-pipes/,,confirmed
Astral CPVC PRO CTS Pipe 40mm SDR 11,Astral,,,3917,18,India,,CPVC,40,SDR 11,,https://www.astralpipes.com/plumbing-pipes-fittings/cpvc-pro-pipes/,,confirmed
Astral CPVC PRO CTS Pipe 50mm SDR 11,Astral,,,3917,18,India,,CPVC,50,SDR 11,,https://www.astralpipes.com/plumbing-pipes-fittings/cpvc-pro-pipes/,,confirmed
Astral CPVC PRO CTS Pipe 15mm SDR 13.5,Astral,,,3917,18,India,,CPVC,15,SDR 13.5,,https://www.astralpipes.com/plumbing-pipes-fittings/cpvc-pro-pipes/,,confirmed
Astral CPVC PRO CTS Pipe 20mm SDR 13.5,Astral,,,3917,18,India,,CPVC,20,SDR 13.5,,https://www.astralpipes.com/plumbing-pipes-fittings/cpvc-pro-pipes/,,confirmed
Astral CPVC PRO CTS Pipe 25mm SDR 13.5,Astral,,,3917,18,India,,CPVC,25,SDR 13.5,,https://www.astralpipes.com/plumbing-pipes-fittings/cpvc-pro-pipes/,,confirmed
Astral CPVC PRO CTS Pipe 32mm SDR 13.5,Astral,,,3917,18,India,,CPVC,32,SDR 13.5,,https://www.astralpipes.com/plumbing-pipes-fittings/cpvc-pro-pipes/,,confirmed
Astral CPVC PRO CTS Pipe 40mm SDR 13.5,Astral,,,3917,18,India,,CPVC,40,SDR 13.5,,https://www.astralpipes.com/plumbing-pipes-fittings/cpvc-pro-pipes/,,confirmed
Astral CPVC PRO CTS Pipe 50mm SDR 13.5,Astral,,,3917,18,India,,CPVC,50,SDR 13.5,,https://www.astralpipes.com/plumbing-pipes-fittings/cpvc-pro-pipes/,,confirmed
Supreme Lifeline CPVC CTS Pipe 15mm SDR 11,Supreme,,,3917,18,India,,CPVC,15,SDR 11,,https://www.supreme.co.in/pipe/products/lifeline-c-pvc-hot-cold-water-system-cts-series,,confirmed
Supreme Lifeline CPVC CTS Pipe 20mm SDR 11,Supreme,,,3917,18,India,,CPVC,20,SDR 11,,https://www.supreme.co.in/pipe/products/lifeline-c-pvc-hot-cold-water-system-cts-series,,confirmed
Supreme Lifeline CPVC CTS Pipe 25mm SDR 11,Supreme,,,3917,18,India,,CPVC,25,SDR 11,,https://www.supreme.co.in/pipe/products/lifeline-c-pvc-hot-cold-water-system-cts-series,,confirmed
Supreme Lifeline CPVC CTS Pipe 32mm SDR 11,Supreme,,,3917,18,India,,CPVC,32,SDR 11,,https://www.supreme.co.in/pipe/products/lifeline-c-pvc-hot-cold-water-system-cts-series,,confirmed
Supreme Lifeline CPVC CTS Pipe 40mm SDR 11,Supreme,,,3917,18,India,,CPVC,40,SDR 11,,https://www.supreme.co.in/pipe/products/lifeline-c-pvc-hot-cold-water-system-cts-series,,confirmed
Supreme Lifeline CPVC CTS Pipe 50mm SDR 11,Supreme,,,3917,18,India,,CPVC,50,SDR 11,,https://www.supreme.co.in/pipe/products/lifeline-c-pvc-hot-cold-water-system-cts-series,,confirmed
Supreme Lifeline CPVC CTS Pipe 15mm SDR 13.5,Supreme,,,3917,18,India,,CPVC,15,SDR 13.5,,https://www.supreme.co.in/pipe/products/lifeline-c-pvc-hot-cold-water-system-cts-series,,confirmed
Supreme Lifeline CPVC CTS Pipe 20mm SDR 13.5,Supreme,,,3917,18,India,,CPVC,20,SDR 13.5,,https://www.supreme.co.in/pipe/products/lifeline-c-pvc-hot-cold-water-system-cts-series,,confirmed
Supreme Lifeline CPVC CTS Pipe 25mm SDR 13.5,Supreme,,,3917,18,India,,CPVC,25,SDR 13.5,,https://www.supreme.co.in/pipe/products/lifeline-c-pvc-hot-cold-water-system-cts-series,,confirmed
Supreme Lifeline CPVC CTS Pipe 32mm SDR 13.5,Supreme,,,3917,18,India,,CPVC,32,SDR 13.5,,https://www.supreme.co.in/pipe/products/lifeline-c-pvc-hot-cold-water-system-cts-series,,confirmed
Supreme Lifeline CPVC CTS Pipe 40mm SDR 13.5,Supreme,,,3917,18,India,,CPVC,40,SDR 13.5,,https://www.supreme.co.in/pipe/products/lifeline-c-pvc-hot-cold-water-system-cts-series,,confirmed
Supreme Lifeline CPVC CTS Pipe 50mm SDR 13.5,Supreme,,,3917,18,India,,CPVC,50,SDR 13.5,,https://www.supreme.co.in/pipe/products/lifeline-c-pvc-hot-cold-water-system-cts-series,,confirmed
